"","study","subject","pipeline","index","fwhm","scheme"
"52","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",7,3.97607617266208,"DSI 258"
"53","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",8,3.98155938378805,"DSI 258"
"54","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",9,3.96337865736917,"DSI 258"
"55","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",10,3.97687134798481,"DSI 258"
"56","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",11,3.95997211885095,"DSI 258"
"57","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",12,3.98093394099413,"DSI 258"
"58","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",13,3.97036748124069,"DSI 258"
"59","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",14,3.96600887510174,"DSI 258"
"60","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",15,3.96762314396532,"DSI 258"
"61","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",16,3.97532361369224,"DSI 258"
"62","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",17,3.98711081167206,"DSI 258"
"63","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",18,3.99642732333081,"DSI 258"
"64","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",19,3.98981489205482,"DSI 258"
"65","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",20,4.0071172689824,"DSI 258"
"66","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",21,4.00510890824951,"DSI 258"
"67","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",0,4.09676604955325,"DSI 258"
"68","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",1,4.08375368729851,"DSI 258"
"69","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",2,4.10095789794975,"DSI 258"
"70","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",3,4.11479692741583,"DSI 258"
"71","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",4,4.10135799633122,"DSI 258"
"72","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",5,4.08834252683052,"DSI 258"
"73","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",6,4.14523339714887,"DSI 258"
"74","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",7,4.08582475602457,"DSI 258"
"75","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",8,4.11733508349704,"DSI 258"
"76","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",9,4.14831860447174,"DSI 258"
"77","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",10,4.10488771742348,"DSI 258"
"78","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",11,4.1575293081319,"DSI 258"
"79","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",12,4.10915666832274,"DSI 258"
"80","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",13,4.16106451238867,"DSI 258"
"81","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",14,4.13089321610774,"DSI 258"
"82","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",15,4.14141067807391,"DSI 258"
"83","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",16,4.10587799608422,"DSI 258"
"84","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",17,4.14759172169086,"DSI 258"
"85","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",18,4.1459326126737,"DSI 258"
"86","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",19,4.12545554441801,"DSI 258"
"87","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",20,4.11701306321049,"DSI 258"
"88","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",21,4.14226732336639,"DSI 258"
"89","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",0,3.99922870440814,"DSI 258"
"90","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",1,4.01240214995954,"DSI 258"
"91","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",2,4.00179390143073,"DSI 258"
"92","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",3,4.01402728218723,"DSI 258"
"93","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",4,4.02510045625803,"DSI 258"
"94","DSI 258","ada5b658c0bd82234d34e14f21b19cd07b2b3217d9426e6599f3ac990d5ea9ca","Raw",5,4.01292806142276,"DSI 258"
