"","subject","qc","fwhm","scheme","pipeline"
"61","1a86248add2253ee10f3c084a0f229b07aa75b1212cad4abfb9e379fb67108cb",0.85736,3.98279002291,"MultiShell 113","QSIPrep"
"62","33178240c8bea8b18b5a2eeb85f4748237442b72f6072dbf199a41304c689cc4",0.858701,4.10157807307,"MultiShell 113","QSIPrep"
"63","611e4b8692fc4d6ca8b25e0688dfffa6533fa95040e71ab72ce9c1d2e4c3aa12",0.859712,4.05734920536,"MultiShell 113","QSIPrep"
"64","73a1708778ef3d0b695b156ef7dafd4fb95479138a552f500bbb8d38674c0424",0.857958,3.79329380346,"MultiShell 113","QSIPrep"
"65","cee622d2a743441371849203c6f3ecae526701542ad406f5777e9c83644206ab",0.848027,4.0120271882,"MultiShell 113","QSIPrep"
"66","870f54db09977eeb4005ec107b17616fa020cb665fa4bd25f196375c8f9e78b1",0.859231,3.92768375332,"MultiShell 113","QSIPrep"
"67","be6da8318fb7f11ce44c06df097466b5d04a7c84d53ca6b50945d1a87f535ba7",0.842903,3.94353136372,"MultiShell 113","QSIPrep"
"68","27b00cba396eac7854e9aaa01290b0ba45a1d548938b67716656e11545d48f2b",0.867113,4.11093786519,"MultiShell 113","QSIPrep"
"69","3904c880a100e2c3ad5fff66bdb602e8b0dc4fe71bd1a15bd0f57c7d8a1e5164",0.83259,4.10753286366,"MultiShell 113","QSIPrep"
"70","bfebd6557bcbd94d2f78a7472805016494386f1232507229848a37169873f65f",0.854429,4.18691546436,"MultiShell 113","QSIPrep"
"71","2c13b3cbd482725b46ee9ebed72ffc7a78586d8e0e13cb893768e851b911c77a",0.832468,3.80796260224,"MultiShell 113","QSIPrep"
"72","a353c6840a57e3afb0af2c7d59cd116ab9483271c0f4c07549a9a7e066fe9bcf",0.849614,3.91937451788,"MultiShell 113","QSIPrep"
"73","beb1e8c78efe783e415f191934973fafab95b4cba431d384f5204fe46d5d6adc",0.838307,3.85992878181,"MultiShell 113","QSIPrep"
"74","efc26723abe26ed609933853db973988feece8484a7fefcf779180785b223569",0.855645,4.06159900386,"MultiShell 113","QSIPrep"
"75","4771fb9705cc91228b468e6d8091a7e9f7635fdf6cb7e770663abe7a45087619",0.859643,3.82455884944,"MultiShell 113","QSIPrep"
"76","8f755c106325ca9b552de28c6a8d2ce2c12d466da90775a7beaade38c900c8e1",0.860656,3.94720498284,"MultiShell 113","QSIPrep"
"77","bb23c88f4534392d2668cdcc95d22b631dfb5dac3df5854ce886a1cc56ded587",0.861563,3.72996492469,"MultiShell 113","QSIPrep"
"78","25e58dbdc18f71434348e8a6699278ea42c1dcd687330d9d616670ebbc201d50",0.85322,4.01891979135,"MultiShell 113","QSIPrep"
"79","b630c332daa809bd8ce48109995bb25d3bda3ff1ca33fa11f12f733834f0f8d9",0.85923,3.89945566242,"MultiShell 113","QSIPrep"
"80","6542c29519fd6cc45adfa7042b7401594da9417480ba3d4f4c7b973cb1106af8",0.852509,3.70405754648,"MultiShell 113","QSIPrep"
"81","ab720c5ebbb4dd6aec9039d0dbd859a92e3ceb5db4d36352224b9106753bbc2d",0.827333,3.79492001014,"MultiShell 113","QSIPrep"
"82","498fc36342f4c68f6660c076aca393a841ed779ed03185cc2db1a5bc3dc2a676",0.778885,3.8966868588,"MultiShell 113","QSIPrep"
"83","1df3454951e44b6401f67db8ebeee63f0087e9de70df0b80e3b4f1b1fed46832",0.840232,3.96518790178,"MultiShell 113","QSIPrep"
"84","307b43fee7de586f581e69cf494feed7eb5e3299b3a9694a8eae45368386ed33",0.851098,4.01567688436,"MultiShell 113","QSIPrep"
"85","d3b1e792ec8d5d541474064601a12182ca5cd009bf1b779fd8581dfcdad66fad",0.840571,4.21513223513,"MultiShell 113","QSIPrep"
"86","124c986477cc2b2c097b2d90f14d341126d3db42f271c6e29741a0ec2a054073",0.859296,4.00136137764,"MultiShell 113","QSIPrep"
"87","e09c5df5eeae10f68daab0263a675b590bfab6238909953a0422f2f2d837a4f1",0.867691,3.94895373688,"MultiShell 113","QSIPrep"
"88","41e2c514f4edb477dfd631295132fd9007e2f967e0d111d0a71ca3f01eb91e48",0.824634,4.5875917283,"MultiShell 113","QSIPrep"
